vendor_no,supplier_name,part_no,part_desc,blanket_po,po_date,po_qty,unit_price,received_qty,desp_qty,vendor_remark,hal_remark,id,division_name,blanket_line
IS0026,S. N. TOOLS PRIVATE LIMITED,104.07.12.059-1,HOLDER,23UBI-1001,31-05-2023,28,104,28,28,,,19036,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.07.25.005-1,DISTANCE BUSH,21SBI-1153,28-06-2022,7,110,7,7,,,19037,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.18.01.026-1,ROLLER,20SBI-1029,21-10-2020,33,100,32,33,,,19038,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.06.64.016-1,PIN,21SBI-1018,21-08-2021,15,90,15,15,,,19039,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.07.25.026-1,WASHER,21SBI-1153,28-06-2022,345,328,345,345,,,19040,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.03.07.021-1,CASING,21SBI-1119,08-03-2022,16,700,15,16,,,19088,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.07.27.001-1,VALVE CASING,23UBI-1001,31-05-2023,5,2634,5,5,,,19041,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,96.09.08.004-1,NUT,20SBI-1029,21-10-2020,48,180,48,48,,,19042,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.01.26.013-1,AXIS,20SBI-1029,21-10-2020,12,200,12,12,,,19043,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.07.30.002-1,FILTER HOUSING,23UBI-1001,31-05-2023,7,1569,6,7,,,19044,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.09.05.008-1,PIPE CONNECTION,21SBI-1153,28-06-2022,7,350,7,7,,,19045,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.06.30.081-1,ATOMIZER,20SBI-1029,21-10-2020,8,460,8,8,,,19046,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.09.05.008-1,PIPE CONNECTION,23UBI-1001,31-05-2023,5,350,5,5,,,19047,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.09.05.009-1,UNION,21SBI-1153,28-06-2022,7,330,7,7,,,19048,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.06.64.016-1,PIN,20SBI-1029,21-10-2020,17,90,17,17,,,19049,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.09.05.009-1,UNION,23UBI-1001,31-05-2023,15,330,15,15,,,19050,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.10.04.004-1,BUSH,21SBI-1153,28-06-2022,34,1200,34,34,,,19051,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.06.68.194-1,NUT,20SBI-1029,21-10-2020,10,180,10,10,,,19052,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.10.04.004-1,BUSH,23UBI-1001,31-05-2023,24,1200,24,24,,,19053,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.10.06.017-1,CONNECTION,21SBI-1153,28-06-2022,5,360,5,5,,,19054,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.10.06.017-1,CONNECTION,23UBI-1001,31-05-2023,6,360,6,6,,,19055,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.12.10.002-1,SPHERE,21SBI-1153,28-06-2022,77,1100,76,77,,,19056,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.13.07.048-1,PLUG,20SBI-1029,21-10-2020,9,200,9,9,,,19057,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.10.07.005-1,ADAPTOR,23UBI-1001,31-05-2023,363,1607,110,110,,,19058,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.13.01.134-1,FLANGE,21SBI-1153,28-06-2022,10,550,10,10,,,19059,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.27.00.007-1,PIN,20SBI-1029,21-10-2020,36,90,36,36,,,19060,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.12.10.002-1,SPHERE,23UBI-1001,31-05-2023,54,1100,54,54,,,19061,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.13.01.139-1,SLEEVE,21SBI-1153,28-06-2022,21,850,0,,,,19062,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.13.01.143-1,NIPPLE,21SBI-1153,28-06-2022,15,550,0,,,,19063,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.13.01.143-1,NIPPLE,23UBI-1001,31-05-2023,32,554,0,,,,19064,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.13.07.048-1,PLUG,23UBI-1001,31-05-2023,6,210,0,6,,,19065,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.27.00.004-1,BUSH,21SBI-1153,28-06-2022,4312,88,1980,1980,,,19066,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.18.01.026-1,ROLLER,23UBI-1001,31-05-2023,670,108,0,480,,,19067,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,104.27.00.007-1,PIN,21SBI-1153,28-06-2022,21,90,21,21,,,19068,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,96.09.08.004-1,NUT,21SBI-1153,28-06-2022,39,190,39,39,,,19069,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,96.10.10.002-1,REST,23UBI-1001,31-05-2023,68,165,68,68,,,19070,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,96.10.10.002-1,REST,21SBI-1153,28-06-2022,33,165,33,33,,,19071,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,96.26.03.013-1,FLANGE,23UBI-1001,31-05-2023,30,1048,6,6,,,19072,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,98.36.00.019-02-1,PIN,23UBI-1001,31-05-2023,123,286,50,123,,,19073,"Sukhoi Engine Divn, Koraput",
